id,brand,food_name,serving_size,weight_g,phe_mg,mg/g,protein_g,Exch,calories_kcal
1,Abbott,"Phenex-1, dry, unpacked",12.5 TBSP,100,0,0,0,0,480
2,Abbott,"Phenex-2, Unflavored or Vanilla, dry, unpacked",12.5 TBSP,100,0,0,0,0,410
3,Baby Gourmet,Banana Fig Oatmeal & Greek Yogurt,1 Pouch,128,130,1.02,3,8.7,110
4,Baby Gourmet,Fruity Greens Mushies,1/4 Cup,7,11,1.63,0.3,0.8,30
5,Baby Gourmet,"Harvest Pear, Pumpkin & Bana",1 Pouch,128,29,0.23,0.8,1.9,80
6,Baby Gourmet,Juicy Pear & Garden Greens,1 Pouch,128,31,0.24,0.8,2.1,80
7,Baby Gourmet,"Orchard Apple, Carrot & Prune",1 Pouch,128,17,0.13,0.6,1.1,70
8,Baby Gourmet,"Pear, Pumpkin & Prune",1 Pouch,128,66,0.52,2,4.4,80
9,Baby Gourmet,Ripe Mango & Avocado with Oats,1 Pouch,128,45,0.35,1,3,100
10,Baby Gourmet,"Summer Cherry, Banana & Spinach",1 Pouch,128,63,0.49,2,4.2,140
11,Baby Gourmet,Vanilla Banana Berry Risotto,1 Pouch,128,78,0.61,2,5.2,120
12,Baby Gourmet,"Wildberry, Rhubarb, Kale & Quinoa",1 Pouch,128,71,0.56,2,4.7,120
13,Beechnut,"Apple & Blackberry, Naturals Just, Stage 2",120 g,120,16,0.13,0.5,1,70
14,Beechnut,"Apple & Kale, Naturals Just, Stage 2",120 g,120,18,0.15,0.6,1.2,60
15,Beechnut,"Apple & Pumpkin, Naturals, Stage 2",120 g,120,16,0.13,0.5,1,70
16,Beechnut,"Apple Cinnamon & Granola, Stage 2, Organic",1/4 Cup,60,10,0.17,0.3,0.7,35
17,Beechnut,"Apple Kiwi & Spinach, Just, Stage 2, Organic",60 g,60,10,0.17,0.3,0.7,30
18,Beechnut,"Apple Mango & Carrot Puree, Fruities on the Go",1 pouch,113,15,0.13,0.5,1,70
19,Beechnut,"Apple Peach & Strawberry Puree, Fruities on the Go",1 pouch,113,11,0.1,0.4,0.7,60
20,Beechnut,"Apple Raspberry & Avocado, Just, Stage 2, Organic",60 g,60,10,0.17,0.3,0.7,30
21,Beechnut,"Apple Sweet Potato & Pineapple Puree, Fruities on the Go",1 pouch,113,24,0.21,0.6,1.6,80
22,Beechnut,"Banana Apple & Strawberry Puree, Fruities on the Go",1 Pouch,113,27,0.24,0.7,1.8,80
23,Beechnut,"Banana Blueberry & Green Beans, Naturals, Stage 2",1/4 Cup,60,13,0.22,0.3,0.9,45
24,Beechnut,"Banana Cinnamon & Granola, Stage 2, Organic",60 g,60,30,0.5,0.7,2,45
25,Beechnut,"Banana Mango & Sweet Potato, Stage 2, Organic",60 g,60,30,0.5,0.7,2,50
26,Beechnut,"Banana Orange Pineapple, Naturals, Stage 2",1/4 Cup,60,11,0.18,0.3,0.7,45
27,Beechnut,"Banana Pear & Sweet Potato Puree, Fruities on the Go",1 Pouch,113,46,0.41,1,3.1,90
28,Beechnut,"Bananas, Stage 1",120 g,120,38,0.32,1.3,2.6,120
29,Beechnut,"Beets Pear Pomegranate, Naturals, Stage 2",1/4 cup,60,10,0.17,0.4,0.7,35
30,Beechnut,"Butternut Squash & Sweet Corn, Just , Stage 2, Organic",60 g,60,50,0.83,1.3,3.3,40
31,Beechnut,"Butternut Squash, Naturals Just, Stage 1",1/4 Cup,60,23,0.38,0.4,1.5,25
32,Beechnut,"Carrot Corn & Pumpkin, Naturals Just, Stage 2",120 g,120,48,0.4,1.2,3.2,60
33,Beechnut,"Carrot Zucchini & Pear Blend, Veggies on the Go",1 pouch,113,23,0.2,0.6,1.5,50
34,Beechnut,"Oatmeal, Whole Grain Cereal, Stage 1",1/4 cup,15,102,6.8,2,6.8,60
35,Beechnut,"Pear & Blueberry, Naturals Just, Stage 2",1/4 cup,60,4,0.007,0.1,0.3,35
36,Beechnut,"Pear Kale & Cucumber, Stage 2, Organic",60 g,60,20,0.33,0.5,1.3,35
37,Beechnut,"Peas, Sweet, Stage 2",4 oz,113,116,1.03,4.4,7.7,60
38,Beechnut,"Pumpkin Zucchini & Apple Blend, Veggies on the Go",1 pouch ,99,23,0.23,0.9,1.5,50
39,Beechnut,"Rice Cereal Single Grain, Stage 1",1/4 cup,15,59,3.93,1.2,3.9,50
